Source,Target,type_of_content
Righteous_One_,SaraCarterDC,Retweet
Righteous_One_,toddstarnes,Mention
dbenderpt,WTHRcom,Retweet
ElephantCoyote,fred_guttenberg,Retweet
jadhavdj11,ANI,Retweet
hunnyfiend,DrunkLiz1,Retweet
rachaelhart20,TobiRachel_,Retweet
cbtuck62,cbtuck62,Tweet
Sgtfridayfacts,AprilDRyan,Retweet
Sgtfridayfacts,realDonaldTrump,Mention
jewelofchicago,jeremyherb,Retweet
nagoyakatime,BrianInAtlanta,Retweet
nagoyakatime,TheWho,Mention
irisosman1,brianstelter,Retweet
irisosman1,ddale8,Mention
irisosman1,tarasubramaniam,Mention
TempleGME,TempleUniv,Retweet
TempleGME,LiacourasCenter,Mention
TempleGME,PhillyInquirer,Mention
milenaac,ChadLivengood,Retweet
bbhusshan,OpIndia_com,Retweet
bbhusshan,narendramodi,Mention
SassBaller,SassBaller,Tweet
DrRimmer,SBSNews,Retweet
Cindy_52s,maddenifico,Retweet
expatassassin,charliekirk11,Retweet
IzabellaC12,GOPChairwoman,Retweet
mbcchv,AJ_Martelli,Retweet
rollemright,JackPosobiec,Retweet
ToshoyBrown,ABC,Retweet
Jeng_1031,allinwithchris,Retweet
trumpcowboy,trumpcowboy,Tweet
DCowboysFan20,ShamsCharania,Retweet
DruzyDiamond,jhaletweets,Retweet
GByrdman2260,HamillHimself,Retweet
marchmatron,bjwinnerdavis,Retweet
SpinelliAshleyy,AndrewBloch,Retweet
chadmoorephoto,ENHS_Esports,Retweet
Ranryu,jayrosen_nyu,Retweet
Heathhooperstar,atrupar,Retweet
Barbariba,KatieKimNBC,Retweet
kikikianaw,BNODesk,Retweet
flutterfli007,ms_sgg,Retweet
maureenmce,chefjoseandres,Retweet
JKolkin,MikeDelMoro,Retweet
RaviSha35930234,Imamofpeace,Retweet
CountryCyn,JudicialWatch,Retweet
corpuschristipp,DavidLat,Retweet
DebbieDamon2,DrDenaGrayson,Retweet
SkineyW,phillyeaglesfa1,Retweet
DoctorADDA,NancyReau,Retweet
DoctorADDA,Rush_Transplant,Mention
DoctorADDA,RushMedical,Mention
AnarchoCynical1,PoliticusSarah,Retweet
tanyia,ChadLivengood,Retweet
denise_giesecke,yogagenie,Retweet
sonataopso,simongerman600,Retweet
the_staceys,WayneDupreeShow,Retweet
naresh4mathura,TheEconomist,Retweet
Knkent888,WhiteHouse,Retweet
Knkent888,realDonaldTrump,Mention
jpharley3000,jpharley3000,Tweet
AnitaWiechman,DineshDSouza,Retweet
SharenMarchelia,AndyBiotech,Retweet
betteronpage,washingtonpost,Retweet
shaaeeeee,BNODesk,Retweet
knewport_5,IngrahamAngle,Retweet
lockmeupwithjoy,WHO,Retweet
marymac41,jenn_mallory,Retweet
gtconway3d,ryanstruyk,Retweet
gtconway3d,CNN,Mention
pillbug01,KamVTV,Retweet
____dimo,ScottGottliebMD,Retweet
tomo5235,TwitterMoments,Retweet
FloLake,HomelessScotla1,Retweet
shossy2,vegix,Retweet
sapienist,DrTedros,Retweet
sapienist,GANKIMYONG,Mention
Ritika45124073,ChopraNimmi777,Retweet
EmersonsGhost,Amy_Siskind,Retweet
missy1275,kylegriffin1,Retweet
LilyEPloski,ryanstruyk,Retweet
openeyes99995,joe_warmington,Retweet
openeyes99995,YRP,Mention
MorissetShella,CBS12,Retweet
Batvan82,SethAbramson,Retweet
AngieMa90381353,DrDenaGrayson,Retweet
AngieMa90381353,WHO,Mention
beanmanegan,tonyschwartz,Retweet
angela20487395,CBSNews,Retweet
notme_either,rogerkver,Retweet
torytortilla1,MikeDelMoro,Retweet
electroboyusa,electroboyusa,Retweet
mybabyforever10,petluvers4Trump,Retweet
mybabyforever10,GovWhitmer,Mention
slim_jazz__,DrunkLiz1,Retweet
lynn_riddley,nytpolitics,Retweet
AryanPaladin,DostKhan_Jammu,Retweet
AryanPaladin,ArvindKejriwal,Mention
morak611,iran_policy,Retweet
Doglove07233859,JoeNBC,Retweet
eveysue,AndyBiotech,Retweet
KAS22_KaaRinn_S,tedlieu,Retweet
theJakubKeller,theJakubKeller,Tweet
donnaperrett211,TeamTrump,Retweet
donnaperrett211,JDiamond1,Mention
donnaperrett211,realDonaldTrump,Mention
criscre123,TomthunkitsMind,Retweet
Kimmyt648,TomFitton,Retweet
Kimmyt648,US_FDA,Mention
Tabachichi27,anndylian,Retweet
jakejonesSWR,Yamiche,Retweet
MelissaKester,MelissaKester,Tweet
NoIongerningen,spillseshYT,Retweet
FixNjt,ryanhutchins,Retweet
mattbilinsky,tonybalogna,Retweet
MapleCat4,ChuckCallesto,Reply
MapleCat4,ChuckCallesto,Mention
MapleCat4,SpeakerPelosi,Mention
chrisrounsefell,Yamiche,Retweet
chrisrounsefell,JDiamond1,Mention
azmikautsar,sahouraxo,Retweet
Ritika45124073,ChopraNimmi777,Retweet
pearlsintampa,jeremyherb,Retweet
NickAlexanderH4,Dcl_60,Retweet
NotAcquiescing,JustinWolfers,Retweet
sundene,jonathanchait,Retweet
dharmabum007,dharmabum007,Tweet
jhoedyanneg,christufton,Retweet
ladystormbreak1,YouTube,Mention
ladystormbreak1,katyhodges21,Mention
KTownStriders,KTownStriders,Tweet
arul05m105,spectatorindex,Retweet
jekelish,jimsciutto,Retweet
jooniesbagels,BigHitEnt,Retweet
Jkits_Zazz,CNN,Retweet
tjssmith,KamVTV,Retweet
nanaxo_01,InactionNever,Retweet
FedUpwDemsLIES,RichardVeii,Retweet
plswakemeupat8,TIME,Retweet
MagaNordic,love4thegameAK,Retweet
Canoe,Canoe,Tweet
CajunCatsup,BookNellies,Retweet
kachoomar,goyalsanjeev,Retweet
Dr3dZz,Iuvsushi,Retweet
RevAnneCapeAnn,jayrosen_nyu,Retweet
JbthomJohn,CIAspygirl,Retweet
emwake1,MarketWatch,Retweet
imanjonz,jimsciutto,Retweet
chykear,sahouraxo,Retweet
Jgal1699,Yamiche,Retweet
ilujsuk,CNNPolitics,Retweet
itsaidaaabear,TwitterMoments,Retweet
jedistocky,jenniferbaer,Retweet
eptierney,carolynryan,Retweet
eddietorial,JasonMillerinDC,Retweet
ParthDhiman11,Sargam_777,Retweet
shofwan_annur,AndyBiotech,Retweet
jeffhalm,jeremyherb,Retweet
rabiasquared,ryanstruyk,Retweet
rabiasquared,CNN,Mention
tarbaby87065348,WayneDupreeShow,Retweet
debbie77777777,debbie77777777,Tweet
21wasp,WHO,Retweet
maaz_ha55an,Leo_girl001,Retweet
dogderthots,A_Mass2,Retweet
joyce_macri,joyce_macri,Tweet
minekai12,tomwarren,Retweet
13Strength,MelindaBey913,Retweet
13Strength,FyahSophia,Mention
bashful__marie,YouLoveAshh,Retweet
RadicallyPosit1,Edsall,Retweet
ktcougar13,JxhnBinder,Retweet
IronyMan14,Pete2303,Retweet
benhuxen,benhuxen,Tweet
LindaWe46317432,TomthunkitsMind,Retweet
minaxtweet,minaxtweet,Tweet
yaoi_mazter,cloverblossoms_,Retweet
magonzalez84,Amy_GuthrieDF,Retweet
mgc0083,IngrahamAngle,Retweet
paulettemartine,davidsirota,Retweet
MagnifiKat_ST,ddale8,Retweet
CasVnova,AdamMilstein,Retweet
apcorsiII,SteveDeaceShow,Retweet
heidithemusical,WBUR,Retweet
KubicekMirjana,RyanAFournier,Retweet
Shaffe29,Shaffe29,Tweet
anitasno,jeremyherb,Retweet
JemmaThinks,MAGA2ARIGHTS,Retweet
patty_gonval,BonJovi,Retweet
patty_gonval,AsburyParkPress,Mention
DogBarkingBees,carolynryan,Retweet
SinghSinghk89,PTI_News,Retweet
cmarkerm,tedlieu,Retweet
hihavs,ChrisJansing,Retweet
elividal471,tommcintyre1947,Retweet
DebbFinnegan,DrGJackBrown,Retweet
TraciDrescher,Mikel_Jollett,Retweet
CasinoDrinking,standardnews,Retweet
joaniesseattle,OrRite_Then,Retweet
joaniesseattle,AprilDRyan,Mention
joaniesseattle,realDonaldTrump,Mention
TrailerMania587,TrailerMania587,Tweet
zmann25,A_Mass2,Retweet
WithCabal,RealCandaceO,Retweet
MatthewCronin9,NewYorker,Mention
jayayzle,intheMatrixxx,Retweet
jayayzle,billboard,Mention
LicAlexPrez,tomphillipsin,Retweet
alegnavaleska,DrunkLiz1,Retweet
CindyChhaaaaa,chrisjollyhale,Retweet
RWordplay,business,Retweet
plumm_sue,asil09,Retweet
Blesst777,Blesst777,Tweet
Katz75Sandy,fred_guttenberg,Retweet
RockSolidDem,RockSolidDem,Tweet
PirateMike911,atrupar,Retweet
Brywill,atrupar,Retweet
travel_banter,rudy_mustang,Retweet
WaelNeurogastro,dredcronin,Retweet
JMooreBoston,SenSanders,Retweet
SimianGiudice,DavidLat,Retweet
Juimper,LastStandingCo1,Reply
Juimper,LastStandingCo1,Mention
Juimper,GovMikeDeWine,Mention
Juimper,LtGovHusted,Mention
Juimper,US_FDA,Mention
Juimper,Battelle,Mention
Sellsworth1963,BobKarpDR,Retweet
DennisBeaver7,jeremyherb,Retweet
danhomick,mattdpearce,Retweet
ayemvee,David_Leavitt,Retweet
Deepika80659308,Gurmeetramrahim,Reply
Deepika80659308,Gurmeetramrahim,Mention
Deepika80659308,derasachasauda,Mention
vishalgondal,vishalgondal,Tweet
FullOSchmidt,SpreadTruth,Retweet
oddfox,cmkshama,Retweet
CounterSpinYT,Sean56011872,Reply
CounterSpinYT,Sean56011872,Mention
CounterSpinYT,IsraelAnderson,Mention
CounterSpinYT,RealCandaceO,Mention
TheGreyWolf1776,MichaelCoudrey,Retweet
beatshoney,s0ranek07,Retweet
beatshoney,salehhadisalem,Mention
Pingguo76077777,AdamMilstein,Retweet
IrishSunSport,IrishSunSport,Tweet
TheTattooedProf,HeerJeet,Retweet
brad_bolyard,joshtpm,Retweet
half__engineer,NorbertElekes,Retweet
swinklera,RobbinSimmons7,Retweet
mcmar,hannahcrileyy,Retweet
DawnaRickelz,CREWcrew,Retweet
suzgonzo,NoqReport,Retweet
colincovert,RWPUSA,Retweet
jeanneRicky,ddale8,Retweet
littleredtree60,ryanstruyk,Retweet
littleredtree60,CNN,Mention
FranTextual,NPR,Retweet
johnc_finney,TomFitton,Retweet
johnc_finney,DrJeffColyer,Mention
LynchDennis,fred_guttenberg,Retweet
KnightLife360,TomthunkitsMind,Retweet
niki_cwy,DailyMirror,Retweet
markh1797,darhar981,Retweet
markh1797,realDonaldTrump,Mention
testytwitty1,jimsciutto,Retweet
itsnowornvr51,DigiByteMike,Retweet
don_poppi,LisaMei62,Retweet
don_poppi,SecretService,Mention
JJaazzee1,MotherJones,Retweet
MichaelKeltner1,JayCostTWS,Retweet
wheelchairvet,MAGAGwen,Retweet
_Thatguycaleb,TobiRachel_,Retweet
damasus01,TheBabylonBee,Retweet
edieconstantine,edieconstantine,Tweet
Jikkenfish,dailystar,Retweet
pln6364,realDonaldTrump,Retweet
momstar888,DrunkLiz1,Retweet
dkadjvi,dkadjvi,Tweet
strata189,ryanstruyk,Retweet
strata189,CNN,Mention
dallie_payne,SarahHuckabee,Retweet
dallie_payne,FoxNews,Mention
KShaunty,slaugen48,Retweet
orysonehand,jeremypgordon,Retweet
Bit23Little,CNN,Retweet
GarrigouL,cnalive,Retweet
smittycanada1,JaroGiesbrecht,Retweet
LEngelhorn,Amy_Siskind,Retweet
gr8society,jimsciutto,Retweet
HelenaVillarRT,MarkAmesExiled,Retweet
Amyy_Nicolee,Amyy_Nicolee,Tweet
crownlifelive,jeremyherb,Retweet
juritaim,3arabawy,Retweet
michnewby,denverpost,Retweet
pisedoffinoh,RodneyClaeys,Retweet
EmpyrealGradult,leucinedreams,Retweet
dave_root,SenJohnKennedy,Retweet
AndrewSolender,jimsciutto,Retweet
BenMaracek16,sfchronicle,Retweet
goslin13,bbconlow,Retweet
1SG_K_Tx,MarshaBlackburn,Retweet
StacyMichelleB,InactionNever,Retweet
JorgaStevens,DrDenaGrayson,Retweet
JorgaStevens,realDonaldTrump,Mention
AntkaneTony,GOPChairwoman,Retweet
aj_aguilaar,rapplerdotcom,Retweet
BaloneySalami1,Mike_Pence,Retweet
carmiris2,carmiris2,Tweet
Bo9Tim,coco14391,Retweet
luanchulag,brown_skin_rose,Retweet
Mohan1993421,guardian,Retweet
tenneseeah,chrisjollyhale,Retweet
RyRy_VD,chrisjollyhale,Retweet
PowercatZac,ClayTravis,Retweet
Yvette_Randell,Yvette_Randell,Tweet
montanaisthebes,AnthonyJoyner44,Retweet
Mak_Canada,GlobalBC,Retweet
NellenRoust,carolineplayle,Retweet
hippiebpd,ctnewsjunkie,Retweet
HongkongerAmy,HongKongFP,Retweet
Libitina2,jimsciutto,Retweet
Ingvald1,thedailybeast,Mention
karliesl,RealCandaceO,Retweet
bluxmoonn,btsworldwider,Retweet
bluxmoonn,BTS_twt,Mention
Take2StepsBack,RealCandaceO,Retweet
kristilloyd123,FotosbyFuzzy,Retweet
OC_Camps,OC_Camps,Tweet
most256,AdamMilstein,Retweet
IronHeadJane,ByMikeBaker,Retweet
KAZurcher,davidenrich,Retweet
Trumporable,dmon4ever,Retweet
Trumporable,iheartmindy,Mention
Trumporable,ResiTech,Mention
Trumporable,kathygriffin,Mention
sdearth,cnnbrk,Retweet
dharmvirjangra9,dharmvirjangra9,Tweet
DykeVanTom,freeqgator,Reply
DykeVanTom,freeqgator,Mention
DykeVanTom,fmcjfc1,Mention
DykeVanTom,JediRachel,Mention
DykeVanTom,NPR,Mention
nicaashl,j7eon,Retweet
jellybeancount1,RealCandaceO,Retweet
Jbgud,IanBegley,Retweet
meltdeansgirl3,BillieJeanKing,Retweet
meltdeansgirl3,eltonofficial,Mention
Franciscojeda2,Imamofpeace,Retweet
monalisa24u,TomFitton,Retweet
monalisa24u,US_FDA,Mention
Tamanna_GurAnsh,ChopraNimmi777,Retweet
TheMattiboy,_SJPeace_,Retweet
mrrroh,jaybeware,Retweet
ConradKnauer,JuddLegum,Retweet
adammcnamara,adammcnamara,Tweet
KevinLougachi,DavidLat,Retweet
NeckesJanice,sfpelosi,Retweet
joel_186,TreatyOfficeSK,Retweet
joel_186,EFNewsOnline,Mention
TFehartyToons,joncoopertweets,Retweet
darcon3,bellwak,Retweet
jakejonesSWR,jentaub,Retweet
__MJDr,NorbertElekes,Retweet
JoeDean53,MAGAPATRIOT_TGM,Retweet
jane_drinkwater,jane_drinkwater,Tweet
domiimarrie,TobiRachel_,Retweet
przjohnathon,ruthbenghiat,Retweet
przjohnathon,FoxNews,Mention
Avner80894027,MAGAGwen,Retweet
izwanpartners,izwanpartners,Tweet
supamodo,spectatorindex,Retweet
qanonnewz,MAGAGwen,Retweet
simplify77,JudicialWatch,Retweet
Astronomikal1,detroitnews,Retweet
jocowboys87,vietthanhsports,Retweet
jocowboys87,NBCNews,Mention
averyarnold01,keithboykin,Retweet
CarolynGDavis,CarolynGDavis,Tweet
PatCarr12856,TomFitton,Retweet
PatCarr12856,US_FDA,Mention
angela8535937,UniteCountryPAC,Retweet
angela8535937,FoxNews,Mention
SharonCullars,StuartEmmrich,Retweet
HardikVithalan5,BNODesk,Retweet
DubyaArgh,MCmuckraker,Retweet
DJSchmail,ClayTravis,Retweet
burnwater,Aaron_Derfel,Retweet
policymonk,lewisshepherd,Retweet
mskellydutton,StuartEmmrich,Retweet
GiftsAndTalents,KelemenCari,Retweet
KazukoSuzuki,jimsciutto,Retweet
notagentsmith,joncoopertweets,Retweet
synjinreyes,iamkarendavila,Retweet
97enthusiasts,themainichi,Retweet
vanebuen1211,NPR,Retweet
sunilstephen_N,MyTitwala,Retweet
Dave53710775,WhiteHouse,Reply
Dave53710775,WhiteHouse,Mention
sailingopen,nypost,Retweet
luvlymalec,aramajapan,Retweet
BarbraFCraig1,mamendoza480,Retweet
aritraroyc,TimesNow,Retweet
megbenitez,steve_tombs,Retweet
kayleevdz,jentaub,Retweet
astritl80,BleacherReport,Retweet
therockstand,jayrosen_nyu,Retweet
xnmader,samkarlin,Retweet
carlottadavey,DonaldJTrumpJr,Retweet
AaronGerrit,AaronGerrit,Tweet
bannerite,CREWcrew,Retweet
VeronicaVV08,jaketapper,Retweet
edbobgreen,ddale8,Retweet
husnaahuss,DrunkLiz1,Retweet
Purdinola,ProfLMarteleto,Retweet
Rozvardo,dailydot,Retweet
JBRodri43383411,Trey_VonDinkis,Retweet
ThorpeLynden,BritishArmy,Retweet
rahmankhanmmc,RahulGandhi,Retweet
johnnybridge2,Senator_Patrick,Retweet
johnnybridge2,ScottMorrisonMP,Mention
steve_sherwood,politico,Retweet
TtoonnyyCA,IngrahamAngle,Retweet
InUnfunky,JuddLegum,Retweet
CostaCrew2LSU,KamVTV,Retweet
irwnhkm,spectatorindex,Retweet
adrd08,CharlieDaniels,Retweet
redz041,jtbrg,Retweet
khaama,khaama,Tweet
Pinkyar27664955,derasachasauda,Mention
samar97189157,calamur,Retweet
Nagpur_Social,Nagpur_Social,Tweet
MlungisiMthembo,MthuliNcube,Reply
MlungisiMthembo,MthuliNcube,Mention
AuntiePinky,atrupar,Retweet
AndyEtnyre,IngrahamAngle,Retweet
MattU7_15,IamNurseTrish,Retweet
maapa75,cnnbrk,Retweet
VLBenning,VLBenning,Tweet
ellenspencer03,Yamiche,Retweet
gil22768,Yamiche,Retweet
gil22768,JDiamond1,Mention
JR_Highnote,PhilipRucker,Retweet
iamibrahimpak,globaltimesnews,Retweet
tu_chi_ma,ddale8,Retweet
conniebrimmer,conniebrimmer,Tweet
LouiseK56597346,BNODesk,Retweet
ketaminh,abcnews,Retweet
changehurts16,MrAndyNgo,Retweet
jennadona,DavidLat,Retweet
LoysaZ,AwbwFyf,Retweet
LoysaZ,JRobertSmith1,Mention
LynnMarcotte,RealCandaceO,Retweet
praizecheezus,erinmdurkin,Retweet
Meowrowrie,jeremyherb,Retweet
LeighAnne2014,charliekirk11,Retweet
teamtrump202,Rparkerscience,Retweet
Coronameshta,Coronameshta,Tweet
MartyLeith206,intheMatrixxx,Retweet
MartyLeith206,billboard,Mention
PanamaforTrump,BreitbartNews,Retweet
Matt17488093,thebradfordfile,Retweet
Looyaan,Looyaan,Tweet
theRx_,CiaranStrange,Retweet
Wednsdayschild,ddale8,Retweet
alexbarras6,KATCTV3,Retweet
MarkAndrewSaber,Imamofpeace,Retweet
BldingTBettrMT,GregAbbott_TX,Retweet
Jeffrey49518433,RealCandaceO,Retweet
kime721,DeanObeidallah,Retweet
kime721,realDonaldTrump,Mention
gotsrange,nytpolitics,Retweet
EAJ1980,marybsheridan,Retweet
noone_jane,catturd2,Retweet
sylviashortt,SethAbramson,Retweet
Satyendrasir123,cnnbrk,Retweet
jafibronde,renoomokri,Retweet
MooreHomes1,EmilyRoseFinn,Retweet
MooreHomes1,OANN,Mention
MooreHomes1,JennPellegrino,Mention
jeaniegirldc,joe_warmington,Retweet
jeaniegirldc,YRP,Mention
KakiMiller1,erinmdurkin,Retweet
SportsfanThomas,BrandonStraka,Retweet
KennethManusama,jimsciutto,Retweet
UnitedFor45,MAGAGwen,Retweet
Union_2019AD,AnthonyJoyner44,Retweet
KKeankm,TomFitton,Retweet
KKeankm,US_FDA,Mention
rethnkdvid,DrunkLiz1,Retweet
CarlosDiaz1968,ddale8,Retweet
bhadbharke,WCCO,Retweet
sociihub,sociihub,Tweet
FedUpwDemsLIES,lonestarmango,Retweet
_melroro,InactionNever,Retweet
keerthi_naidu25,NorbertElekes,Retweet
ChrisGiallongo,A_Mass2,Retweet
Mrturtledad2,nytpolitics,Retweet
bnhunter3273,IngrahamAngle,Retweet
CarmenDeniseUK,Yamiche,Retweet
CarmenDeniseUK,JDiamond1,Mention
VRI_UN,WHO,Retweet
evolet_evo,MovePH,Retweet
BrimanMaxTroy,nytpolitics,Retweet
JMooreBoston,SenSanders,Retweet
prattdbz,JackPosobiec,Retweet
Centerfire777,TomFitton,Retweet
SierraMtLdy,DFBHarvard,Retweet
ImTweetheartGaL,ImTweetheartGaL,Tweet
bllsager,ddale8,Retweet
Ricknationalist,Rparkerscience,Retweet
nicoletteyln,alphacentauriii,Retweet
ssmunsell,fred_guttenberg,Retweet
jenna92821,InterviewerAk,Retweet
grumbledypeg,kylegriffin1,Retweet
t_USAlover,almostjingo,Retweet
kinnehan,pablorodas,Retweet
Drjsmohanty,subhash_kak,Retweet
omarazaher,Cairo67Unedited,Retweet
conserveguitar,RealMattCouch,Retweet
NightShiftMD,CBCKatie,Retweet
MiaLevetan,GregAbbott_TX,Reply
MiaLevetan,GregAbbott_TX,Mention
briasoleil,swilkinsonbc,Retweet
abc13houston,MelanieLawson13,Retweet
Yogeshrode5,Yogeshrode5,Retweet
FizzyLizd,juliebosman,Retweet
goldenchamsae,j7eon,Retweet
Eltempest,MichaelCoudrey,Retweet
jocowboys87,ScottImmordino,Retweet
KKSpice518,HalMarshall2309,Retweet
katwoman0852,SteveHiltonx,Retweet
donnaperrett211,RealCandaceO,Retweet
JesseMuhwezi,MakerereU,Retweet
mel33,CBSNews,Retweet
chandnisingh108,MailOnline,Retweet
4foot11girl,TobiRachel_,Retweet
chdezs,chdezs,Tweet
toni_iacobbo,toni_iacobbo,Tweet
Mykiwitwit,brett_mcgurk,Retweet
pdx_49,fred_guttenberg,Retweet
jessichords,jessichords,Reply
karmaback100,IngrahamAngle,Retweet
LindacoxCox,SidneyPowell1,Retweet
JCTRamblerINC,atrupar,Retweet
m_semati,jayrosen_nyu,Retweet
thalapalani777,rameshlaus,Retweet
emwake1,emwake1,Tweet
PairMobile,ddale8,Retweet
PottyByNature,ryanstruyk,Retweet
keithsgane,JoshGrelle,Retweet
aapkaPRAKUSH,ianbremmer,Retweet
CannotFitMyName,Yamiche,Retweet
rlmetalman,IngrahamAngle,Retweet
MikeDal23048886,Toneman807,Retweet
mjmiles5,RyanAFournier,Retweet
CryptoEuclid,CryptoEuclid,Tweet
raylondon66,iamjdudge,Retweet
raylondon66,DrAdrianHeald,Mention
billprimostaff,RealCandaceO,Retweet
Tamanna_GurAnsh,Harshit_insan1,Retweet
Tamanna_GurAnsh,Gurmeetramrahim,Mention
Tamanna_GurAnsh,derasachasauda,Mention
_WOAK_,_WOAK_,Tweet
greg12664033,SaraCarterDC,Retweet
greg12664033,toddstarnes,Mention
Defeat_Trump2,Defeat_Trump2,Tweet
gloriawoody4,brad_polumbo,Retweet
concession1,concession1,Tweet
143Swami,realDonaldTrump,Reply
143Swami,realDonaldTrump,Mention
MoArslankhan,realDonaldTrump,Retweet
dave_sanders38,jimsciutto,Retweet
agamemnus_dev,MKid12276995,Reply
agamemnus_dev,MKid12276995,Mention
agamemnus_dev,LDebunked,Mention
agamemnus_dev,OnlyJball,Mention
agamemnus_dev,DineshDSouza,Mention
jj_deponson,alejandro_mhr,Retweet
MutleyBloodrust,MutleyBloodrust,Tweet
newsiconicindia,newsiconicindia,Tweet
maurziegirl,TheLyonsDen,Retweet
tolson12,ryanstruyk,Retweet
Hannah02Golden,woozillaaaa,Retweet
LouDavidson1,KelemenCari,Retweet
blueyedshear60,IngrahamAngle,Retweet
bbbraner,RealJamesWoods,Retweet
ScrewedbyState,_IndianMuslims,Retweet
JeffHReynolds,realDonaldTrump,Retweet
Len_Palajac,BeholdIsrael,Retweet
arunji1411,globaltimesnews,Retweet
wichopunkass,wichopunkass,Tweet
TrustIsAnon,ksieff,Retweet
PacNWReb38,WHO,Retweet
docfreeride,CBSNews,Retweet
emackiee,huntychan,Retweet
AbraxisRising,WhiteHouse,Retweet
777kiran27,jituinsan55,Retweet
777kiran27,derasachasauda,Mention
torileighxvl,johnpaulwhite,Retweet
torileighxvl,JohnPrineMusic,Mention
virgohoe,TobiRachel_,Retweet
hilzoy,jimsciutto,Retweet
BAttanasio,Trey_VonDinkis,Retweet
rrodela_CI,FCenicerosPhoto,Retweet
dianashavemore,BehemothDog,Retweet
RedbearAdos,CNN,Retweet
LaurieBolen1,SaraCarterDC,Retweet
LaurieBolen1,toddstarnes,Mention
actualbeefheart,redsteeze,Retweet
BeverlyTymchuk,YouTube,Mention
Fe_CLAD,TheRevAl,Retweet
SpeakBravely,eugenegu,Retweet
SpeakBravely,realDonaldTrump,Mention
kavn,SenSanders,Retweet
CFSBlonde,TomFitton,Retweet
CFSBlonde,US_FDA,Mention
ritamary6,jayrosen_nyu,Retweet
buybuyca,ProudGayPatriot,Retweet
Deirdre78229515,rbe_expert,Retweet
mayleechai,carolynryan,Retweet
BettyBo23122139,KFOX14,Retweet
MissSciFi1,IngrahamAngle,Retweet
Carlanun,carolynryan,Retweet
Alpine_Joy,KBAndersen,Retweet
Alpine_Joy,JerryFalwellJr,Mention
Alpine_Joy,trish_regan,Mention
andiedeb,CREWcrew,Retweet
pam86084193,CharlieDaniels,Retweet
michaelagodd247,PaulDeCristofo4,Retweet
michaelagodd247,DNC,Mention
michaelagodd247,TomPerez,Mention
JordanyaScomich,SpeakerPelosi,Retweet
Laup561,unionsaustralia,Retweet
Picklesjohnson,JoyAnnReid,Retweet
Picklesjohnson,CaroleSimpson7,Mention
ConnieBethBair1,Mike_Pence,Retweet
BMcmlxxxii,Amy_Siskind,Retweet
Randaldavis66,ejeancarroll,Retweet
WPAdmirer,thedailybeast,Retweet
news8_plus,news8_plus,Tweet
ProSuja,AndyBiotech,Retweet
plumcat,samstein,Retweet
pierrecot,JoeBiden,Retweet
bobberryradio,paulkrugman,Retweet
MichaelScalia86,nytopinion,Retweet
ckriley67,charliekirk11,Retweet
Whereisharvin,Skoog,Retweet
ajoshd,ajoshd,Tweet
bharatgupta76,VentureBeat,Retweet
NursesTexas,NursesTexas,Tweet
Federalist,jemillerwbal,Retweet
Viatcheslavsos3,Viatcheslavsos3,Tweet
AUC31,AUC_DPA,Mention
chriswilhelm78,ianbremmer,Retweet
jessicajazline,Breaking911,Retweet
NatwarlalSutha1,noconversion,Retweet
active_jane,active_jane,Retweet
brianandagnes,YouTube,Mention
twiggyoh,NYDailyNews,Retweet
sudeepkhatri,pablorodas,Retweet
AndresLorenteR,BacaMotes,Retweet
AndresLorenteR,paulafking,Mention
sradov34,IngrahamAngle,Retweet
demianbulwa,nxthompson,Retweet
TenThirteenHpa,JapanToday,Retweet
keerthi_naidu25,IndiaToday,Retweet
keerthi_naidu25,sardesairajdeep,Mention
datedev,datedev,Tweet
jaysrule22,ianbremmer,Retweet
Ziggyfan_1,RealJamesWoods,Retweet
jjcurls_,TobiRachel_,Retweet
RogerDinNYC,JoeBorelliNYC,Retweet
sergeantcroley,GregAbbott_TX,Retweet
MW_PanteraNera,TheRickWilson,Retweet
FourSevenRonin,MarshaBlackburn,Retweet
heunggongyan1,goofrider,Retweet
Mohdmat48610111,richaanirudh,Retweet
Mohdmat48610111,BeingSalmanKhan,Mention
DeborahS_IN,AprilDRyan,Retweet
DeborahS_IN,realDonaldTrump,Mention
PatriotMary410,TomFitton,Retweet
PatriotMary410,US_FDA,Mention
GeecJohn,ddale8,Retweet
elleislovingit,TobiRachel_,Retweet
fadeyifemi,KevinBohnCNN,Reply
fadeyifemi,KevinBohnCNN,Mention
RillaInglewood,hannahcrileyy,Retweet
campinfoo,TheTNHoller,Retweet
nuclearadio,TruthAbtChina,Retweet
ImJayGotti11,BleacherReport,Retweet
cheriharly34,GodHasThisNow,Retweet
cheriharly34,SpeakerPelosi,Mention
DebbieDamon2,GrassrootsSpeak,Retweet
melquiadesmp,AndyBiotech,Retweet
adamsmadelines,BNODesk,Retweet
CAGOPUnknown,CAGOPUnknown,Tweet
thedeepertheluv,IngrahamAngle,Retweet
LolaWiggins,rweingarten,Retweet
VEGASRick3535,HectorLaMarque,Retweet
CarlCoo47366183,thebradfordfile,Retweet
bluenightfringe,jayrosen_nyu,Retweet
_beckksss,InactionNever,Retweet
Sippi48,BobKarpDR,Retweet
lobosolo0,CNN,Retweet
InfoAddict4,Barnes_Law,Retweet
somuchtodo2,return_black,Retweet
NancyDStreet,democraticbear,Retweet
